0	0	0
15	-44	25
15	-42	7
21	-40	13
22	-40	6
21	-38	14
22	-36	5
24	-36	11
36	-36	19
25	-38	5
24	-39	15
25	-40	15
37	-39	17
30	-40	13
29	-42	12
26	-42	18
63	-39	13
63	-37	18
14	-9	12
66	-39	17
66	-35	4
66	-32	7
68	-42	12
68	-36	13
69	-42	8
69	-40	16
69	-34	15
72	-42	6
72	-38	5
80	-30	9
74	-42	11
74	-40	10
74	-36	3
75	-44	7
77	-40	2
75	-37	4
77	-38	4
76	-4	18
76	-1	14
76	1	12
75	10	17
79	-2	20
79	1	14
79	7	16
82	-3	10
82	7	9
84	-3	11
84	-1	7
84	3	13
86	-3	5
89	1	4
89	5	21
73	35	13
73	38	11
75	36	12
75	40	14
75	44	10
77	35	8
77	41	16
80	32	19
80	43	5
83	37	17
83	39	7
83	44	16
84	41	14
85	35	17
89	44	13
27	38	17
40	35	13
25	40	14
25	42	16
34	41	7
36	44	13
36	38	9
36	42	11
36	44	35
38	38	5
40	40	28
40	43	7
44	41	3
44	45	10
0	-10	7
0	-5	12
8	-15	11
7	-10	10
6	-7	8
4	-5	11
5	-3	21
1	-3	4
8	-5	15
11	-6	16
10	-5	4
8	-4	16
10	-1	7
12	-1	10
6	0	9
10	0	11
15	0	17
20	10	12
10	5	11
12	6	7
8	4	9
6	3	11
10	10	12
8	8	7
4	5	8
5	6	6
6	9	5
18	-12	12
23	-7	13
20	5	7
3	-5	7
5	-9	8
8	-14	11
15	-8	13
20	1	11
15	7	10
6	-12	7
15	-10	4
-5	-5	20
-5	5	13
