0	0	0
-12	-6	7063
-15	-5	51
-1	-18	23
2	-21	3074
-1	-17	349
-9	-12	1047
2	-22	698
1	-21	3001
7	-25	31
-7	-17	1135
-11	-5	21611
-14	-9	57
-14	-8	51
-11	-2	551
-14	-5	179
-15	-9	6
-15	-8	528
-9	-6	2832
-14	-4	1514
3	6	889
5	9	2554
5	10	1215
2	8	1810
1	9	3050
1	10	4
2	9	1563
6	14	741
5	12	1532
3	7	709
4	8	1022
-6	1	883
-6	2	1689
-8	-2	10235
-7	2	29
-7	-3	2894
-7	-2	450
-20	12	411
-20	13	207
-12	10	496
-20	15	1021
-6	8	117
2	21	46
2	22	8
1	21	18
-1	24	561
1	22	1877
-2	20	3542
-2	21	801
-4	18	967
-4	19	62
-5	18	1366
-5	26	230
1	23	4
-6	5	12
-6	6	145
-9	6	7149
-9	7	2250
-12	5	383
-12	6	134
-11	3	1947
-11	4	182
-14	4	3934
-14	5	468
-15	4	18
-15	5	133
-16	7	2340
-16	8	754
-15	10	1264
-20	10	806
-5	19	3665
-9	-11	2452
