0	0	0
9.2	-9.9	30
30.6	-6.7	226
29.3	-13.7	37
33.8	-6.7	24
35	-7	36
37	-7	1
39.5	-4.5	31
36	-4.5	24
35	-5	30
32.5	-3.3	24
34.3	-0.7	24
33	-0.7	32
29.5	4	24
32	5	24
31	5	19
26.5	4	24
-14	-2	18
-15	-1	36
-24	15	115
1	15	24
7.3	2.8	24
7.8	-1.2	61
7.8	-1.9	71
8	-1.4	36
10.8	2	18
13	0	30
15.8	1.6	31
17.4	-0.5	36
20.4	-3.7	18
17	-3	1004
15.3	-4.3	18
6.6	-12.2	34
-24	-25	504
8	-15	18
20.5	-14	39
21	-13.2	24
23.2	-12.6	37
23.2	-10.8	24
24.2	-10.6	99
26.3	-12.9	24
28.8	-11.9	24
29	-11	36
26.8	-11	30
26.8	-11	25
24.5	-8.6	24
-8	1	122
5.5	-8.1	196
9.2	-12.2	229
11.6	-13.2	83
14.7	-12.2	18
15	-11.7	24
15	-11.5	306
17.2	-11.7	18
16.8	-10.3	20
17.5	-10.4	18
18.3	-10.3	24
18.3	-9.5	22
17.2	-8.1	24
12.5	-5.3	18
11.8	-6.5	18
13.2	-9	24
13.2	-11	24
2	-19	30
3	-13.8	24
-34	34	40
-9	-5	166
-5	-25	254
-19	-35	187
-19	-50	94
-18	-50	17
-12	-5	285
4	-5	24
2	-7	24
3	-10	205
8.1	-8.8	23
4.3	-12	28
3	-13	51
-1	-15	49
3	-21	19
-24	-26	262
-56	-25	120
-2	15	266
7	45	704
16	37	38
16	37	18
16	36	30
22	14	25
32	6	12
22	6	18
21.5	4.2	25
6	1.5	35
23.2	-0.7	18
22.5	-7.2	12
22.9	-7.3	20
24	-13	1126
22.2	-11	9
21	-11	36
21	-12	12
20.8	-12.6	31
20.5	-12	96
19	-12.4	27
17.8	-12	54
18	-11	137
18.8	-11.4	12
19.4	-9.5	58
-144	-7	206
-146	-14	178
-146	-15	486
-136	-46	36
-72	-34	261
-72	-33	135
-72	-32	135
-74	-29	373
-112	7	535
-101	15	42
-79	-1	9
-72	0	110
-9	1	36
-56	17	18
-114	-35	726
-84	-37	187
-73	-34	23
-73	-33.5	134
-73	-33	47
-72	-32.5	51
-73	-32	43
-74	-32	79
-74	-31	112
-74	-30	91
-42	22	232
-79	0	483
-56	-24	828
-9	-19	11
5	-11.8	12
