0	0	0
5	-8	14
6	18	17
34	58	17
-28	78	16
13	27	19
-23	47	17
31	36	5
36	18	12
-28	70	4
-35	29	2
-39	-3	2
42	21	26
-23	76	2
-46	64	7
39	22	18
-29	34	6
6	-2	6
-33	33	18
-27	73	2
40	65	14
8	-6	5
37	20	9
-31	-2	4
7	-7	3
-32	30	15
-33	-2	4
11	20	23
-26	73	7
19	34	21
15	30	4
41	40	1
33	39	6
-21	79	16
43	22	4
-20	88	20
-46	76	5
17	31	14
9	-2	14
-23	74	26
-38	6	5
-46	62	2
-26	32	14
10	-5	11
-32	-2	21
42	28	20
50	26	18
13	19	2
-24	75	19
13	24	12
-22	71	22
37	25	14
7	-7	23
-46	25	25
38	66	8
-19	81	3
15	0	9
23	31	21
8	-3	3
-26	86	22
-28	38	6
-21	72	2
-15	57	22
12	24	20
-46	-1	5
15	24	13
-28	37	6
11	-4	14
-46	37	16
10	-4	12
16	33	23
37	20	5
7	-2	12
36	41	15
-25	73	21
18	29	4
34	38	23
-30	-2	19
