0	0	0
32	20	23
-46	30	17
-38	6	12
-8	-32	6
-48	38	22
-32	36	3
-14	0	24
-38	34	24
6	8	11
-40	12	7
32	6	12
6	-24	8
8	-12	14
-8	-2	20
-36	2	16
24	32	16
20	-10	4
16	42	9
-16	6	18
-30	38	14
-12	62	10
2	-28	19
-14	0	22
-28	10	19
-22	32	9
-12	-34	18
-12	50	2
26	2	18
-24	54	11
-42	-4	19
36	-2	18
-30	-32	15
-26	-12	4
18	24	12
12	36	8
-26	58	18
-56	6	12
-42	8	72
10	2	2
-26	26	5
-34	36	14
-30	-16	11
-14	-28	19
26	8	16
-60	12	19
-60	40	3
2	36	12
18	34	10
-40	18	20
4	-14	7
4	10	13
36	-14	16
-38	34	23
-56	44	22
-8	-10	18
-4	48	6
28	-14	12
-10	28	27
-48	12	9
30	4	15
