0	0	0
10	-44	12
68	24	24
28	44	16
26	30	7
26	4	9
-24	16	20
-16	-28	10
50	-44	18
-10	46	26
54	-46	17
-16	-32	2
14	-50	11
22	-50	9
8	46	12
2	32	11
58	28	12
-8	8	23
22	-32	7
32	-42	1
62	-10	26
30	-26	10
-4	40	9
-4	-38	22
42	-50	21
34	-30	17
-24	24	2
8	34	15
0	-30	16
20	-22	14
38	26	23
-24	26	24
52	-10	2
10	-40	12
-16	26	18
36	36	5
34	40	19
38	28	15
72	16	8
-16	-6	6
68	-30	14
58	20	13
70	6	5
6	18	24
52	-34	25
38	6	2
-22	12	8
-14	18	14
-18	-42	2
12	14	13
50	32	10
-10	2	6
44	-46	6
44	-24	24
-20	-32	21
24	-20	20
52	-34	24
-10	-44	4
66	-12	19
54	-34	14
42	24	23
68	0	2
0	-18	16
-16	-32	23
-22	14	14
