0	0	0
58	-17	3
-26	-41	12
-20	-18	25
-11	15	4
5	-34	11
45	-19	20
-22	15	21
6	-8	10
54	-47	20
5	-25	13
-15	-50	14
5	-18	16
29	32	17
-23	-15	11
-15	-50	36
21	-62	6
-22	-22	7
30	-2	21
22	32	11
-31	-13	17
5	-14	22
14	35	10
48	21	19
61	26	21
11	12	23
-25	-10	19
24	33	15
24	25	22
22	4	7
-6	29	11
-27	-4	15
11	-20	22
-17	-24	12
-21	-24	24
52	-43	25
-3	-6	2
-15	-13	15
21	-57	18
45	-58	13
13	-58	3
15	14	20
-27	-2	14
48	-28	10
59	12	10
53	-20	66
-26	-15	10
33	-48	7
39	2	12
61	-53	24
38	5	5
-35	-50	18
60	27	7
10	-42	11
38	28	12
