0	0	0
10	-52	21
-32	30	8
36	4	11
-2	-32	7
-48	-32	21
-24	16	5
26	10	13
-46	-46	10
7	-27	9
37	5	20
-41	-45	7
10	-26	12
15	-51	23
37	11	2
-21	19	4
39	5	14
-31	37	12
33	11	3
-27	39	5
-43	-43	13
-39	-29	5
10	-24	12
3	-29	2
45	9	3
27	15	18
17	-51	24
41	5	4
-29	31	63
1	-31	19
27	11	2
14	-20	9
-29	31	4
10	-22	9
-17	21	23
-1	-29	6
-47	-23	3
-39	-45	12
8	-26	7
19	-47	17
-21	21	22
14	-18	26
37	5	14
41	9	9
-27	37	2
-43	-25	16
13	-45	24
10	-18	4
-31	35	19
-19	23	11
