0	0	0
7	12	7
19	9	30
22	24	16
-10	-14	9
10	-10	21
-9	7	15
-13	23	19
1	22	23
22	-7	11
21	-19	5
12	1	19
1	-8	29
-25	-15	23
-18	2	21
6	-24	10
22	1	15
-3	-17	3
-13	-7	41
-17	-27	9
27	18	28
32	2	8
12	17	8
-14	17	16
-22	12	10
-23	-2	28
-3	28	7
0	8	15
13	27	14
28	8	6
28	-13	19
7	29	11
8	6	12
16	-30	23
31	-7	26
32	23	17
33	29	6
2	-18	9
15	-5	15
29	-25	14
-25	-34	7
-20	-23	27
-9	-30	13
-25	24	11
0	-25	16
9	-30	10
2	-1	5
-5	-8	25
-5	15	17
18	-12	18
26	-3	10
