0	0	0
6	14	10
0	-18	7
20	10	13
20	-15	19
-20	-5	26
-10	-5	3
-15	15	5
-25	8	9
20	25	16
-5	25	16
-15	30	12
15	0	19
-5	-10	23
-20	-25	20
-5	-30	8
-25	-15	19
-30	-5	2
-15	5	12
-20	25	17
10	30	9
10	-15	11
10	-25	18
20	-30	29
30	0	3
30	-15	6
10	-5	17
0	5	16
6	2	16
29	7	9
5	25	21
-4	17	27
0	34	23
18	17	11
30	20	14
28	30	8
-33	25	5
-15	-15	8
-30	-30	16
25	-23	31
5	-10	9
7	-28	5
-11	-23	5
-12	-32	7
-24	-21	18
-29	3	16
-33	13	1
-27	21	27
-22	17	36
-29	33	30
12	12	13
14	23	10
-8	8	9
2	-4	14
22	-6	18
28	-12	2
18	-23	6
-3	-23	7
1	-9	18
-14	-11	28
-18	-1	3
-23	-11	13
-11	23	19
-8	34	10
-20	42	9
27	42	20
14	38	25
32	-30	25
21	4	36
2	12	6
2	21	5
22	33	15
12	-19	25
9	-18	9
11	-22	8
14	-24	18
14	7	13
18	8	14
26	17	3
22	13	23
21	2	6
20	19	26
-20	12	16
-21	2	11
-24	-4	7
-19	-13	41
-31	-17	35
-7	-17	26
-9	17	9
-9	0	15
-4	32	3
-20	-16	1
-13	-13	2
-17	-11	22
-9	-8	27
-10	-11	20
-13	-8	11
-10	-14	12
-16	-14	10
-15	-9	9
-17	-17	17
